pid,practice_area,expertise,language,location
59,Real Estate,"Real estate brokerage, real estate leasing, real estate transactions","Hindi",Los Angeles
60,Criminal Law,"Criminal sentencing, criminal appeals, criminal trial defense","French",San Francisco
61,Family Law,"Family dispute resolution, child protection, family court appeals","Chinese",Chicago
62,Healthcare,"Healthcare fraud, healthcare compliance, healthcare policy","Korean",Miami
63,Tax Law,"Income tax, property tax appeals, tax-exempt status","Spanish",Dallas
64,Intellectual Property,"IP enforcement, IP strategy, IP protection","Arabic",New York
65,Employment,"Labor law, employment litigation, workplace investigations","Japanese",Seattle
66,Immigration,"Visa applications, immigration appeals, asylum petitions","Korean",Los Angeles
67,Corporate,"Mergers and acquisitions, corporate restructuring, corporate contracts","Chinese",San Francisco
68,Real Estate,"Real estate development, real estate financing, real estate arbitration","Hindi",Washington
69,Criminal Law,"Criminal investigation, criminal sentencing, criminal appeals","French",Chicago
70,Family Law,"Adoption proceedings, child custody disputes, family mediation","Chinese",Miami
71,Healthcare,"Healthcare regulation, medical ethics, healthcare compliance","Korean",Dallas
72,Tax Law,"Tax evasion, tax planning, international taxation","Spanish",New York
73,Intellectual Property,"IP prosecution, IP protection, IP portfolio management","Arabic",Seattle
74,Employment,"Workplace discrimination, labor negotiations, employment contracts","Japanese",Los Angeles
75,Immigration,"Immigration petitions, deportation defense, immigration appeals","Korean",San Francisco
76,Corporate,"Corporate governance, corporate finance, corporate compliance","Chinese",Washington
77,Real Estate,"Real estate contracts, real estate disputes, real estate titles","Hindi",Chicago
78,Criminal Law,"Criminal defense, criminal appeals, criminal sentencing","French",Miami
79,Family Law,"Divorce settlements, child support, family court appeals","Chinese",Dallas
80,Healthcare,"Healthcare policy, medical malpractice, healthcare compliance","Korean",New York
81,Tax Law,"Tax litigation, tax planning, international tax law","Spanish",Seattle
82,Intellectual Property,"IP enforcement, IP strategy, IP management","Arabic",Los Angeles
83,Employment,"Employment law, workplace discrimination, labor negotiations","Japanese",San Francisco
84,Immigration,"Immigration law, refugee law, asylum petitions","Korean",Washington
85,Corporate,"Corporate litigation, corporate governance, corporate investigations","Chinese",Chicago
86,Real Estate,"Real estate transactions, property development, real estate disputes","Hindi",Miami
87,Criminal Law,"Criminal investigations, criminal defense, criminal appeals","French",Dallas
88,Family Law,"Family court proceedings, child custody disputes, adoption proceedings","Chinese",New York
89,Healthcare,"Healthcare regulations, medical ethics, healthcare compliance","Korean",Seattle
90,Tax Law,"Tax disputes, tax planning, international tax agreements","Spanish",Los Angeles
91,Intellectual Property,"IP enforcement, IP strategy, IP management","Arabic",San Francisco
92,Employment,"Employment law, workplace discrimination, labor negotiations","Japanese",Washington
93,Immigration,"Immigration law, refugee law, asylum petitions","Korean",Chicago
94,Corporate,"Corporate litigation, corporate governance, corporate investigations","Chinese",Miami
95,Real Estate,"Real estate transactions, property development, real estate disputes","Hindi",Dallas
96,Criminal Law,"Criminal investigations, criminal defense, criminal appeals","French",New York
97,Family Law,"Family court proceedings, child custody disputes, adoption proceedings","Chinese",Seattle
98,Healthcare,"Healthcare regulations, medical ethics, healthcare compliance","Korean",Los Angeles
99,Tax Law,"Tax disputes, tax planning, international tax agreements","Spanish",San Francisco
