,name,overview,serviceFocus,industryFocus,education,barAdmissions,courtAdmissions,recognitions,affiliations
63,Steven P. Alvarado,"Steve Alvarado represents employers in a variety of labor and employment matters. He also has substantial experience representing employers in administrative litigation involving both Cal/OSHA and OSHA. He has advised employers facing willful and serious citations resulting from catastrophic events leading to fatalities with significant penalties. His practice includes investigating significant workplace incidents, managing OSHA inspections, contesting OSHA citations, and defending employers in OSHA enforcement actions. Steve is licensed to practice in California. Steve has litigation experience in a variety of employment-related matters in both state and federal courts, arbitration forums, in addition to experience in state and federal administrative agencies such as the California Division of Labor Standards Enforcement (DLSE), the California Department of Fair Employment and Housing (DFEH), the Equal Employment Opportunity Commission (EEOC) and others. Steve represents and counsels employers on various employment-related matters, including, but not limited to, discrimination, unlawful harassment, wrongful termination, unfair business practices, wage and hour class and PAGA actions and compliance with COVID-19 related laws and regulations. In law school, Steve graduated in the top of his class and was an Articles Editor for the Chapman Law Review. He also served as an extern for the Honorable Andrew J. Guilford of the U.S. District Court, Central District of California in Santa Ana.","['Litigation and Trials', 'Workplace Safety and Catastrophe Management']","['Automotive Dealership', 'Cannabis', 'Manufacturing']","['J.D., 2008, Chapman University School of Law', 'B.A., 2005, California Polytechnic State University']",['California'],"['U.S. District Court for the Central District of California', 'U.S. District Court for the Northern District of California']",['null'],['null']
64,Christopher Alvarez,"Chris Alvarez is a partner in the firm’s Sacramento office. His practice focuses on representing employers in federal and state courts, in all stages of litigation. He also counsels and advises clients on labor and employment law matters.  Prior to joining Fisher Phillips, Chris was in private practice with a law firm representing employers in labor and employment matters. Chris graduated from the University of California Davis School of Law. While in law school, he served as a Senior Notes and Comments Editor for the UC Davis Law Review and was a member of the Trial Honors Board. Prior to attending law school, Chris worked for the California State Legislature as a Senior Legislative Aide, giving him the ability to understand rules, regulations, and requirements that could impact an employer’s operation.","['Data Security and Workplace Privacy', 'Employment Discrimination and Harassment', 'Litigation and Trials']",['Automotive Dealership'],"['J.D., 2013, University of California at Davis School of Law', 'B.S., 2005, California State University, Sacramento']",['California'],"['California Courts of Appeal', 'California Superior Court', 'California Supreme Court', 'U.S. District Court for the Eastern District of California']","['Recognized in The Best Lawyers in America, Ones to Watch (2021 - 2024)', 'Listed in Sacramento Magazine ""Top Lawyers,"" Employment & Labor (2017-2018, 2023)']","['Member, California Bar Association', 'Member, Sacramento County Bar Association', 'Ex Officio Board Member, SCBA Barristers’ Club of Sacramento', 'Board Member, Asian/Pacific Bar Association of Sacramento', '\nAmbassador, Sacramento Asian Chamber of Commerce\n', 'Member, Metro EDGE']"
65,Emily Alvarez,"Emily Alvarez provides companies and individuals with comprehensive immigration representation to help clients achieve their business objectives effectively and efficiently. She is an associate in our Denver office who supports employers’ strategic efforts around workforce development through the pursuit of nonimmigrant visas, such as L-1, H-1B, P-1, and TN visas, and employment-based immigrant visas. Her practice features partnerships with employers in a variety of industries, including telecommunications, technology, and health services. Emily also has experience in family-based immigration processes, including adjustment of status, and humanitarian-based applications such as applications for Temporary Protected Status (TPS) and Deferred Action for Childhood Arrivals (DACA). Her experience with a broad range of immigration benefits allows Emily to fully assess all options available to address her clients’ needs. Before joining Fisher Phillips, Emily was a Law Clerk in an immigration law firm in Philadelphia. During her time there, she assisted in hearing preparation for individuals and families seeking relief through asylum, withholding of removal, or cancellation of removal. In addition, Emily volunteered to assist with filing administrative claims under the Federal Tort Claims Act for migrant families subject to family separation. She is an active member of American Immigration Lawyers Association (AILA).",['Immigration'],['Automotive Dealership'],"['J.D., 2021, Temple University, Beasley School of Law', 'B.A.S.c., 2012, State University of New York College at Oneonta']",['Colorado'],"['California Courts of Appeal', 'California Superior Court', 'California Supreme Court', 'U.S. District Court for the Eastern District of California']",['null'],['null']
66,David E. Amaya,"David Amaya is a partner in the firm's San Diego office and has devoted his entire legal career to representing employers. Fueled by a passion for workplace law and a competitive drive, he is a tireless advocate for his clients. He enjoys working with companies to develop creative and business-oriented solutions that resolve workplace issues while managing risk and remaining mindful of the client’s bottom line. David’s practice focuses on the representation of employers in the healthcare and hospitality industries in both union and non-union settings. He also represents clients in a wide range of other sectors, from retail to transportation to education. He has defeated class certification efforts on several occasions, including at the appellate level in Ricardo Acuna v. FS Hotels (LA), Inc., 2011 Cal.App.Unpub. LEXIS 6898 (2011). In 2015, he second chaired a trial team that obtained a complete defense verdict for a company against whom over $20,000,000 in damages were sought. He has also won several anti-SLAPP motions resulting in awards of attorney’s fees and costs for his clients.  Since 2016, David has been included in San Diego Super Lawyers - Rising Stars. David was also selected as a San Diego Metro Magazine, ""40 under 40"" Award Winner. A native of Bucaramanga, Colombia, David grew up in a multi-cultural family. His love of soccer led him to a spot on the men’s varsity soccer team at the University of California – San Diego. He was captain and president of the club soccer team while attending law school at Indiana University Maurer School of Law in Bloomington, Indiana, where he graduated cum laude, earned top brief writing honors in the school’s Sherman Minton Moot Court Competition, and served as an Articles Editor on the Federal Communications Law Journal.   David’s past legal experience includes stints at a large national full-service firm, the California Court of Appeal, and the United States Attorney’s Office for the Southern District of California.","['Class and Collective Actions', 'Employee Leaves and Accommodations', 'Litigation and Trials', 'Wage and Hour', 'Employment Discrimination and Harassment']","['Healthcare', 'Hospitality', 'Retail']","['J.D., cum laude, Indiana University Maurer School of Law', 'B.S., University of California, San Diego']",['California'],"['U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Southern District of California']","['Included in\xa0San Diego Super Lawyers - Rising Stars (2016 - 2018)', 'San Diego Metro Magazine,\xa0""40 under 40"" Award Winner']","['San Diego County Bar Association', 'Court Appointed Special Advocate, Voices for Children']"
67,Joseph W. Ambash,"Joe Ambash is a partner in the Boston office. His practice includes all aspects of employment law, including labor-management relations, employment discrimination and wrongful discharge litigation, and preventive labor relations. He also has an extensive practice training managers in all areas of employment law compliance. Joe represents management in a broad range of industries, including health care, higher education, financial services, retail, media, sports and state and local government. He has represented clients before the National Labor Relations Board (NLRB), the Massachusetts Division of Labor Relations, the Equal Employment Opportunity Commission (EEOC), the Massachusetts Commission Against Discrimination, the United States Department of Labor (USDOL), and in Massachusetts state and federal courts, the U.S. Courts of Appeal and the United States Supreme Court. Joe's experience in labor-management relations extends over several decades and involves representing management in representation cases, unfair labor practice cases, strikes and other labor disputes. He represented Brown University in the landmark NLRB case holding that graduate students are not employees under the National Labor Relations Act (NLRA), and he represented New Process Steel in the Supreme Court case invalidating decisions by a two-member NLRB. Joe is frequently quoted by such notable publications as The New York Times, The Washington Post, The Atlantic, Bloomberg BNA, WGBH News, Boston Business Journal, among others. He also lectures extensively on labor and employment topics. He was listed in the Massachusetts Super Lawyers since 2013, Chambers USA since 2015, America's Leading Business Lawyers in 2013 and he has been recognized in The Best Lawyers in America since 2006. Joe has been selected for inclusion in Who's Who Legal USA - Management Labour & Employment by the researchers at the International Who's Who publication. He was also selected for inclusion in The Legal 500 – Litigation in 2015.","['Counseling and Advice', 'Employment Discrimination and Harassment', 'Labor Relations', 'Litigation and Trials']","['Automotive Dealership', 'Education', 'Higher Education']","['J.D., 1973, cum laude, Harvard Law School', 'A.B., 1970, magna cum laude, Yale University']",['Massachusetts'],"['U.S. Court of Appeals for the First Circuit', 'U.S. Court of Appeals for the Seventh Circuit', 'U.S. District Court for the District of Massachusetts', 'U.S. Supreme Court']","['Benchmark Litigation 2023 – Labor & Employment Star', 'Recognized in The Best Lawyers in America (2011 – 2024)', 'Recommended as a leading practitioner for Labor and Employment Disputes: Defense by The Legal 500 United States 2021', 'Chambers USA, Labor & Employment (2015 – 2023)', 'Served as the executive editor of the Massachusetts Labor Relations Reporter', 'Served as the executive editor of the Massachusetts Discrimination Law Reporter', 'Served as the executive editor of the Employment-At-Will Reporter""AV"" Peer Review Rated by Martindale-Hubbell', 'Listed in Massachusetts Super Lawyers since 2013', 'Named one of the ten Leaders in the Law by Massachusetts Lawyers Weekly in 2010', 'Recognized in New England Super Lawyers and Massachusetts Lawyers Weekly since 2004']","['Fellow, College of Labor and Employment Lawyers', 'Member, Boston Bar Association', 'Member, American Bar Association']"
68,Alyssa Levy Andalman,"Alyssa Levy Andalman regularly counsels employers on all aspects of their employment relationships, including contracts, leave laws, independent contractor issues, accommodations, and covenants not to compete. Alyssa is best known for her experience with representing employers in workplace law disputes and advice on compliance with a wide range of federal and state employment laws and agency regulations. Before joining Fisher Phillips, Alyssa defended companies in complex employment matters involving the Fair Labor Standards Act (FLSA), the Family and Medical Leave Act (FMLA), the Americans with Disabilities Act (ADA), and Title VII. She also conducted workplace investigations and defended employers in matters associated with the Occupational Safety and Health Administration (OSHA) including advice and defense of citations. She has also defended employers in unemployment appeals, workers’ compensation litigation, and personal injury and toxic tort lawsuits.","['Counseling and Advice', 'Litigation and Trials', 'Workplace Safety and Catastrophe Management']","['Automotive Dealership', 'Education', 'Higher Education']","['J.D., 2011, DePaul University College of Law', 'B.A., 2007, with honors, Lehigh University']","['Colorado', 'Illinois']","['U.S. Court of Appeals for the Tenth Circuit', 'U.S. District Court for the District of Colorado']","['Recognized in\xa0The Best Lawyers in America, Ones to Watch (2021 - 2024)', 'Super Lawyers, “Rising Star,” Employment Litigation: Defense, Colorado (2018-2022)']","['Colorado Bar Association - Employment', 'American Bar Association', 'Board Member, Colorado Lawyers Committee – Young Lawyers Division', 'Participant, Colorado Lawyers Committee Legal Night Clinics and Legal Audit Clinics', 'General Counsel Mentorship Program', 'Legal Aid Associates Campaign Liaison', 'Colorado Safety Association', 'Board Member – Events, Lehigh Lawyers Association', 'Past Board Member, Young Professionals Board, Rose Community Foundation', 'Founding Member, Young Professionals Board – Chicago, Cystic Fibrosis Foundation', 'Past Participant, Constitution Day presentations at Denver area schools', 'Past Vice-Chair, Colorado Defense Lawyers Association for workers’ compensation']"
69,Bruce C. Anderson,"Bruce Anderson works with his clients to solve some of their most demanding labor and employment problems. These problems may arise during the start-up of a company, during the course of a company’s day to day operations, during a government agency audit or during a litigation related event. Bruce began his career in 1976 by obtaining trial experience in the Adams County District Attorney’s office. Since moving into private practice in 1980, he has represented hundreds of clients in a wide variety of civil matters with an emphasis on employment litigation. Bruce’s clients include individuals, corporations of all sizes from start-ups to Fortune 100 companies, franchisors and franchisees in the food service industry, car dealerships, hospitals, medical clinics and practices, manufacturers, not for profit corporations, public school districts, private schools and government entities. Bruce has extensive litigation experience in state and federal court bench and jury trials, arbitrations, alternative dispute resolution proceedings and in matters before the National Labor Relations Board (NLRB), Equal Employment Opportunity Commission (EEOC) and state fair employment agencies.","['Counseling and Advice', 'Litigation and Trials', 'Workplace Safety and Catastrophe Management']","['Automotive Dealership', 'Education', 'Higher Education']","['J.D., 2011, DePaul University College of Law', 'B.A., 2007, with honors, Lehigh University']","['Colorado', 'Illinois']","['U.S. Court of Appeals for the Tenth Circuit', 'U.S. District Court for the District of Colorado']","['Represented national client in the security services industry subject to a collective bargaining agreement with union employees, obtaining favorable decisions for the company in numerous arbitrations of union grievances.', 'Represented Colorado hospital, handling a variety of employment matters, including enforcing and negotiating a collective bargaining agreement.', 'Represented local newspaper publisher, obtaining a judgment notwithstanding the verdict in an ADEA lawsuit filed in the U.S. District Court for the District of Colorado and obtaining a 10th Circuit decision upholding the judgment.', 'Represented McDonald’s franchisee, obtaining a summary judgment ruling in a case involving a multi-million dollar demand.', 'Represented both public school districts and private schools, handling a wide variety of employment and school law matters.', 'Obtaining favorable resolutions in legal actions involving the enforcement of covenants not to compete, confidentality agreements and copyright and trademark violations.']","['J.D., University of Denver Sturm College of Law', 'Colorado', 'U.S. Court of Appeals for the Tenth Circuit', 'U.S. District Court for the District of Colorado', 'U.S. Supreme Court']"
70,Lucy Anderson,"Lucy Anderson is an associate in Fisher Phillips’ Charlotte office who defends employers in employment discrimination, harassment, wage and hour, and workplace safety-related cases, with an emphasis on devising creative risk management strategies that efficiently achieve positive results. She has experience conducting pre-suit investigations of workplace accidents and OSHA violations and regularly appears in state and federal courts, including contested motions and jury trials. Before joining Fisher Phillips, Lucy practiced in the Charlotte office of a large insurance defense firm, where she focused on employment law, complex commercial litigation, personal injury defense, products liability, premises liability, and insurance coverage disputes. During law school, Lucy was a member of the Maritime Law Journal and wrote extensively on the issue of mandatory employment arbitration agreements within the cruise ship industry.","['Counseling and Advice', 'Employment Discrimination and Harassment', 'Employee Leaves and Accommodations', 'Litigation and Trials']","['Construction', 'Financial Services']","['J.D., 2015, cum laude, Loyola University New Orleans College of Law', 'B.A., 2008, cum laude, Appalachian State University']",['North Carolina'],"['U.S. District Court for the Eastern District of North Carolina', 'U.S. District Court for the Middle District of North Carolina', 'U.S. District Court for the Western District of North Carolina']","['\nNorth Carolina Bar Association\n', '\nMecklenburg County Bar Association\n', '\nWomen Lawyers of Charlotte\n', '\nNorth Carolina Association of Defense Attorneys\n']",['null']
71,Michelle I. Anderson,"With unique training and more than 20 years of experience in executive management, workforce development, and practicing employment law, Michelle Anderson helps businesses anticipate and solve practical and legal challenges in the workplace by defending against various claims and assisting with compliance practices and procedures. Michelle defends employers against claimed violations involving unlawful discrimination, harassment, wrongful termination, retaliation, breach of contract, leave and disability, wage and hour, unfair labor practices, and public accommodations and workplace safety laws. To help clients comply with applicable laws and regulations, she advises on multi-state employee handbooks, employment applications, policies, and procedures; workplace investigations; Americans with Disabilities Act (ADA) matters; human resource management and systems; supervisor training; diversity and inclusion; criminal background checks; as well as Fair Labor Standards Act (FLSA) and state wage and hour audits. Michelle works with the Louisiana Restaurant Association as its outside general labor and employment counsel, liaising closely with its members in the restaurant and hospitality industries. An integral member of the firm’s Wage and Hour Practice Group and Women’s Initiative and Leadership Committee, she is also a key contributor to Fisher Phillips’ COVID-19 Task Force, which has been a leader in providing advice and training to businesses around the country. Before law school, Michelle had a successful career in workforce development, operating and managing employment and training programs for a private non-profit corporation under contracts from federal, state, and local governments. Among many others, these programs supported individuals with disabilities, those lacking a GED or high school diploma, and those on public assistance.","['Litigation and Trials', 'Counseling and Advice', 'Wage and Hour', 'Employee Leaves and Accommodations']","['Construction', 'Financial Services']","['J.D., 2015, cum laude, Loyola University New Orleans College of Law', 'B.A., 2008, cum laude, Appalachian State University']",['North Carolina'],"['U.S. District Court for the Eastern District of North Carolina', 'U.S. District Court for the Middle District of North Carolina', 'U.S. District Court for the Western District of North Carolina']","['Jury verdict in favor of franchisor and franchisee in religious discrimination case alleging failure to accommodate a sincerely held religious belief governing appearance.', 'Jury verdict in favor of auto dealership and owner in race discrimination and intentional torts (received prior partial summary judgment on gender discrimination and retaliation claims before trial).', 'Arbitration win in favor of manufacturing client in wrongful termination claim in violation of the collective bargaining agreement.', 'Summary judgment in favor of employer in ERISA case for manufacturing client, affirmed by the 11th Circuit Court of Appeal.', 'Summary judgment in favor of employer in an age discrimination case for manufacturing client, affirmed by the 5th Circuit Court of Appeal.', 'Two summary judgments in favor of dental practice employer and individual defendant alleging race and gender discrimination, breach of contract and other intentional torts. Also prevailed on a third summary judgment for the employer on a breach of contract claim against the plaintiff, resulting in a monetary judgment in favor of the company.', 'Summary judgment in favor of employer in a race discrimination case for manufacturing client.', 'Partial summary judgment (claim preclusion for failure to disclose lawsuit in bankruptcy proceedings) in favor of employer in a race discrimination case for manufacturing client.', 'Summary judgment in favor of employer in a race discrimination case for leasing client.', 'Dismissal (failure to state a claim) in favor of employer in whistleblower claim for aviation client.', 'Dismissal (failure to state a claim) in favor of employer in wrongful termination claim for manufacturing client.', 'Dismissal (statute of limitations) in favor of employer in unemployment benefits claim for medical client.', 'Dismissal (statute of limitations) in favor of employer in unemployment benefits claim for security client.', 'Dismissal (failure to state a claim) in favor employer in breach of contract claim for insurance client.']","['J.D., 2007, Loyola University New Orleans School of Law', 'B.A., 1995, Washington State University', 'Florida', 'Louisiana', 'Florida Supreme Court', 'Louisiana Supreme Court', 'U.S. Court of Appeals for the Eleventh Circuit', 'U.S. Court of Appeals for the Fifth Circuit', 'U.S. District Court for the Eastern District of Louisiana', 'U.S. District Court for the Middle District of Florida', 'U.S. District Court for the Middle District of Louisiana', 'U.S. District Court for the Northern District of Florida', 'U.S. District Court for the Southern District of Florida', 'U.S. District Court for the Western District of Louisiana']"
72,Mitchell Anderson,"Mitchell Anderson is a litigation associate in the firm’s Charlotte office who represents employers in a variety of workplace-related issues and disputes. Mitchell has experience drafting responsive pleadings, researching, devising and implementing discovery plans, taking and defending depositions, conducting dispositive motion practice and oral arguments, preparing experts and clients for trial, running mediations, and in appellate briefing. Prior to joining Fisher Phillips, Mitchell practiced at a national, full-service law firm and successfully handled general liability, legal malpractice, medical malpractice, wrongful death and other complex litigation matters in state and federal courts.",['Litigation and Trials'],"['Construction', 'Financial Services']","['J.D., 2010, University of Dayton School of Law', 'B.A., 2007, cum laude, University of Kentucky']","['Arizona', 'Ohio']","['U.S. District Court for the District of Arizona', 'U.S. District Court for the Northern District of Ohio', 'U.S. District Court for the Southern District of Ohio', 'U.S. Court of Appeals for the Sixth Circuit']","['Rated AV Preeminent® by Martindale-Hubbell', 'Super Lawyers Rising Star (2018-2023)', 'Rising Star of the Bar Honoree, Dayton Bar Association (May 2019)']","['State Bar of Arizona', 'Ohio State Bar Association (2010-2020)', 'Dayton Bar Association, Bar Exam & Qualifications (2019-2020)', 'Colonel, The Honorable Order of Kentucky Colonels', 'American Red Cross, Associate Board (2011-2013)']"
73,Nicholas G. Anhold,"Nick Anhold defends businesses in a wide range of employment-related disputes. Before joining Fisher Phillips, Nick focused on complex business, employment, and professional liability disputes, and advised attorneys in disciplinary and grievance proceedings, at a Cleveland-based litigation firm. He has extensive experience in briefing and oral argument and has achieved successful results in mediation. While in law school, Nick clerked for the Hon. K.J. Montgomery of the Shaker Heights Municipal Court and served as Editor-in-Chief of the Global Business Law Review.","['Labor Relations', 'Litigation and Trials', 'FCRA and Background Screening']","['Construction', 'Financial Services']","['J.D., 2019 , Cleveland State University, Cleveland-Marshall College of Law', 'B.A., 2015, Rice University']",['Ohio'],"['U.S. District Court for the Northern District of Ohio', 'U.S. Court of Appeals for the Sixth Circuit']","['Ohio State Bar Association', 'Cleveland Metropolitan Bar Association']",['null']
74,Craig R. Annunziata,"Craig Annunziata is the managing partner in the Chicago and a partner in the Tampa office. He represents management in employment-related disputes. The majority of his practice is before federal and state courts and alternative dispute forums throughout the United States. He also defends management against charges filed with the U.S. Equal Employment Opportunity Commission (EEOC) and related state agencies. A significant portion of his practice is devoted to counseling management, prior to litigation, on issues related to employees and the workplace. Prior to joining the firm, Craig clerked for the Honorable William J. Castagna, U.S. District Judge for the Middle District of Florida in Tampa. Craig is ""AV"" Peer Review Rated by Martindale-Hubbell and he has been listed in The Best Lawyers in America since 2012. He was selected for inclusion in Illinois Super Lawyers in 2014, 2015 and 2019.","['Class and Collective Actions', 'Employee Benefits and Tax', 'Employee Defection and Trade Secrets', 'Employment Discrimination and Harassment', 'Litigation and Trials', 'Wage and Hour']","['Hospitality', 'Retail']","['J.D., 1992, John Marshall Law School', 'M.B.A., 1987, Loyola University', 'B.S., 1986, cum laude, DePaul University']","['Florida', 'Illinois', 'Wisconsin', 'Arizona']","['U.S. District Court for the Northern District of Ohio', 'U.S. Court of Appeals for the Sixth Circuit']","['Recognized in The Best Lawyers in America (2012 – 2024)', 'Illinois Super Lawyers (2014 - 2015, 2019)']","['Member, Board of Directors for the Illinois Chamber of Commerce']"
75,Christina Anton,"Christina is an associate in Fisher Phillips’ Sacramento office. She defends and advises employers on a variety of workplace issues, including workplace discrimination, retaliation, wrongful termination, and wage and hour issues. Prior to joining Fisher Phillips, Christina was a law clerk for a regional labor and employment law firm where she assisted in handling and managing wage and hour cases. Christina graduated with distinction from the University of the Pacific, McGeorge School of Law and was inducted into the Roger J. Traynor Honor Society. She also received concentrations in international law and business law. During law school, Christina served as the Primary Production Editor for the University of Pacific Law Review. Additionally, she volunteered for the McGeorge Bankruptcy Clinic, McGeorge Federal Pro Se Help Law Day and World Relief Sacramento on immigration issues.","['Counseling and Advice', 'Litigation and Trials']","['Hospitality', 'Retail']","['J.D., 2021, University of the Pacific, McGeorge School of Law', 'B.S., 2016, California State University, Sacramento']",['California'],"['U.S. District Court for the Northern District of Ohio', 'U.S. Court of Appeals for the Sixth Circuit']",['null'],['null']
76,Juan C. Araneda,"Juan Araneda is a partner in the firm's San Francisco office. His practice focuses on litigation, emphasizing the defense of employers in all aspects of employment law, including wrongful termination, discrimination, harassment, retaliation, disability claims and wage and hour law class actions. Juan represents employers in federal and state courts and before administrative agencies, including the Division of Labor Standards Enforcement, Employment Development Department, Department of Fair Employment and Housing and Equal Employment Opportunity Commission. In addition to his litigation practice, Juan also counsels human resources professionals and employers on employment practices, contracts, separation agreements, employee relations, and maintaining compliance with state and federal laws.","['Employment Discrimination and Harassment', 'Litigation and Trials']","['Hospitality', 'Retail']","['J.D., 2000, Golden Gate University School of Law', 'B.A., 1994, University of California, Berkeley']",['California'],"['U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Eastern District of California', 'U.S. District Court for the Northern District of California']","['Past Chair, Labor & Employment Law Section of the Barristers Club of the Bar Association of San Francisco (2006-2007)']",['null']
77,Keia James Atkinson,"Keia James Atkinson is experienced on both the defense and plaintiff’s sides of employment and labor litigation matters, including single plaintiff harassment, discrimination, misclassification, and wrongful termination claims, as well as class action and Private Attorneys’ General Act (PAGA) lawsuits involving wage and hour and background check claims against California and nationwide employers. He has represented Fortune 100 companies in state and federal court in matters involving claims of unpaid wages, exempt status, breach of contract, wrongful termination, harassment and discrimination, independent contractor status, and improper paystubs. He previously practiced at a plaintiff’s firm focusing on labor and employment and consumer protection class action matters. Before that, he represented employers for an Am Law 100 firm in San Diego. Keia also serves as Adjunct Professor at the University of San Diego School of Law and is an active contributor to the school’s mock trial program. ","['Class and Collective Actions', 'Employee Defection and Trade Secrets', 'FCRA and Background Screening', 'Litigation and Trials']","['Hospitality', 'Retail']","['J.D., 2017, magna cum laude, Order of the Coif, Order of Barristers, University of San Diego School of Law', 'M.A., 2014, University of Central Oklahoma', 'B.A., 2010, University of Oklahoma']",['California'],"['U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Eastern District of California', 'U.S. District Court for the Northern District of California']",['null'],['null']
78,Michael P. Avila,"Michael Avila is an international and trade secrets attorney. Working with employers around the globe, Mike routinely advises on trade secrets protection strategies and restrictive covenant agreements. His practice also includes domestic and cross-border employment litigation, counseling, and internal investigations. Further, Mike regularly leverages his counseling and litigation experience to conduct pre-acquisition due diligence and negotiations surrounding human capital matters, in the context of mergers and acquisitions. Trade Secrets, Restrictive Covenants, and Unfair Competition Mike has prosecuted and opposed numerous matters involving emergency applications for injunctive relief, including temporary restraining orders and preliminary injunctions. He has litigated such matters in dozens of U.S. states, as well as in jurisdictions across the Americas and the EMEA region. These cases typically concern the misappropriation of trade secrets, covenants not to compete, non-disclosure agreements, and other forms of unfair competition. Along with his litigation practice, Mike assists clients with drafting restrictive covenants and developing programs to protect their competitive assets against employee defections. He also helps clients analyze and negotiate restrictive covenants and executive employment agreements in connection with mergers and acquisitions. International Counseling and Litigation Mike regularly helps clients navigate employment disputes on a national and international basis, including throughout the Americas, Europe, Africa, and Asia. These matters include claims of breach of contract, discrimination, and wage payment violations. Mike also counsels U.S. employers concerning the legal implications of hiring and managing employees internationally, including in some of the world’s most challenging legal jurisdictions. This includes helping employers navigate workplace realities outside of the U.S. and developing jurisdiction-specific policy, contract, and wage-payment regimes. In addition, clients frequently call upon Mike to lead domestic and cross-border investigations surrounding internal employee complaints and whistleblowing scenarios. Representative Clients Mike enjoys representing clients of all sizes and structures, from early-stage ventures to publicly traded companies. His industry experience includes life sciences, insurance, financial services, commercial software, and government contractors, including for-profit and non-profit international NGOs.  ","['Employee Defection and Trade Secrets', 'International', 'Litigation and Trials']","['Hospitality', 'Retail']","['J.D., 2017, magna cum laude, Order of the Coif, Order of Barristers, University of San Diego School of Law', 'M.A., 2014, University of Central Oklahoma', 'B.A., 2010, University of Oklahoma']",['California'],"['U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Eastern District of California', 'U.S. District Court for the Northern District of California']","['Secured Temporary Restraining Order, Preliminary Injunction, and successful trial outcome on behalf of global healthcare software client.', 'Successfully represented insurance brokerage client in dueling cross-border trade secrets and breach of contract actions.', 'On behalf of global clinical trials client, defeated action for temporary restraining order and preliminary injunction, in connection with the recruitment of key personnel from a competitor.', 'Drafted and negotiated myriad Key Employee and Executive Employment Agreements in connection with multiple consolidation-focused clients’ acquisitions.', 'Advised several private equity clients regarding the assignability and sufficiency of target entities’ existing restrictive covenants and Key Employee Agreements.', 'Following the acquisition of a competitor, assisted global engineering firm in the integration of payroll and employment law compliance practices across multiple EMEA and APAC jurisdictions.', 'Conducted pre-acquisition diligence regarding target’s global outsourced labor practices and related contractual obligations.', '\nConducted multiple internal whistleblower and procurement fraud investigations across EMEA and APAC regions for International NGOs.\n', 'Successfully resolved wrongful dismissal and breach of employment agreement claims in numerous foreign jurisdictions, including Brazil, Costa Rica, and South Africa.', 'Negotiated multiple outsourced labor contracts across jurisdictions in Africa, Central America, and Asia.', 'Obtained complete defense award from a Financial Industry Regulatory Authority (“FINRA”) arbitration panel, on behalf of a national broker-dealer, in a dispute with its former registered representative.', 'Conducted pre-acquisition diligence regarding Human Resources and Employee Benefits practices for myriad targets on behalf of national veterinary medicine and food safety clients.', 'On behalf of an infrastructure maintenance client, secured summary dismissal of multiple employment discrimination actions.']","['J.D., Villanova University School of Law', 'B.S., Pennsylvania State University', 'Pennsylvania', 'New Jersey', 'District of Columbia', 'U.S. Court of Appeals for the Third Circuit', 'U.S. District Court for the Eastern District of Pennsylvania', 'U.S. District Court for the District of New Jersey', 'U.S. District Court for the Eastern District of Arkansas', 'U.S. District Court for the Western District of Arkansas']"
79,Victor Manuel Ávila,"Victor Ávila draws on more than 24 years of experience to advise national and foreign companies on employment-related compliance, disputes, and labor relations issues. He routinely represents individuals and companies before local and federal labor authorities and in connection with labor audits, including those involved in mergers and acquisitions, to help prevent labor and employment conflicts. Victor previously was a partner in the Labor & Employment Practice Group of a leading global professional services firm.","['Counseling and Advice', 'Labor Relations', 'Litigation and Trials']","['Hospitality', 'Retail']","['2004, Universidad Anahuac']",['California'],"['U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Eastern District of California', 'U.S. District Court for the Northern District of California']",['null'],['null']
